Precompiling packages...
   4901.0 ms  ✓ DeepDriveWE
  1 dependency successfully precompiled in 6 seconds. 159 already precompiled.
[ Info: Loaded 2 basis states
iter 101: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 102: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 103: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 104: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 105: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 106: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 107: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 108: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 109: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 110: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 111: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 112: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 113: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 114: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 115: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 116: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 117: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 118: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 119: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 120: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 121: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 122: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 123: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 124: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 125: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 126: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 127: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 128: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 129: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 130: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 131: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 132: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 133: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 134: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 135: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 136: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 137: n_walkers=12, total_weight=1.0, occupied_bins=6
iter 138: n_walkers=12, total_weight=1.0, occupied_bins=6
iter 139: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 140: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 141: n_walkers=12, total_weight=1.0, occupied_bins=6
iter 142: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 143: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 144: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 145: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 146: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 147: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 148: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 149: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 150: n_walkers=22, total_weight=1.0, occupied_bins=11
Total MD steps run (WE): 1414000
